WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
26;11;;;starachowicki;powiat;2021-01-01
32;14;;;stargardzki;powiat;2021-01-01
22;13;;;starogardzki;powiat;2021-01-01
26;12;;;staszowski;powiat;2021-01-01
16;11;;;strzelecki;powiat;2021-01-01
8;6;;;strzelecko-drezdenecki;powiat;2021-01-01
2;17;;;strzeliński;powiat;2021-01-01
18;19;;;strzyżowski;powiat;2021-01-01
8;7;;;sulęciński;powiat;2021-01-01
12;15;;;suski;powiat;2021-01-01
20;12;;;suwalski;powiat;2021-01-01
20;63;;;Suwałki;miasto na prawach powiatu;2021-01-01
30;24;;;szamotulski;powiat;2021-01-01
32;62;;;Szczecin;miasto na prawach powiatu;2021-01-01
32;15;;;szczecinecki;powiat;2021-01-01
28;17;;;szczycieński;powiat;2021-01-01
22;16;;;sztumski;powiat;2021-01-01
14;30;;;szydłowiecki;powiat;2021-01-01
2;18;;;średzki;powiat;2021-01-01
30;25;;;średzki;powiat;2021-01-01
30;26;;;śremski;powiat;2021-01-01
2;19;;;świdnicki;powiat;2021-01-01
6;17;;;świdnicki;powiat;2021-01-01
32;16;;;świdwiński;powiat;2021-01-01
8;8;;;świebodziński;powiat;2021-01-01
4;14;;;świecki;powiat;2021-01-01
24;76;;;Świętochłowice;miasto na prawach powiatu;2021-01-01
32;63;;;Świnoujście;miasto na prawach powiatu;2021-01-01
18;64;;;Tarnobrzeg;miasto na prawach powiatu;2021-01-01
18;20;;;tarnobrzeski;powiat;2021-01-01
24;13;;;tarnogórski;powiat;2021-01-01
12;16;;;tarnowski;powiat;2021-01-01
12;63;;;Tarnów;miasto na prawach powiatu;2021-01-01
12;17;;;tatrzański;powiat;2021-01-01
22;14;;;tczewski;powiat;2021-01-01
6;18;;;tomaszowski;powiat;2021-01-01
10;16;;;tomaszowski;powiat;2021-01-01
4;63;;;Toruń;miasto na prawach powiatu;2021-01-01
4;15;;;toruński;powiat;2021-01-01
2;20;;;trzebnicki;powiat;2021-01-01
4;16;;;tucholski;powiat;2021-01-01
30;27;;;turecki;powiat;2021-01-01
24;77;;;Tychy;miasto na prawach powiatu;2021-01-01
12;18;;;wadowicki;powiat;2021-01-01
2;65;;;Wałbrzych;miasto na prawach powiatu;2021-01-01
2;21;;;wałbrzyski;powiat;2021-01-01
32;17;;;wałecki;powiat;2021-01-01
14;65;;;Warszawa;miasto stołeczne, na prawach powiatu;2021-01-01
14;32;;;warszawski zachodni;powiat;2021-01-01
4;17;;;wąbrzeski;powiat;2021-01-01
30;28;;;wągrowiecki;powiat;2021-01-01
22;15;;;wejherowski;powiat;2021-01-01
28;19;;;węgorzewski;powiat;2021-01-01
14;33;;;węgrowski;powiat;2021-01-01
12;19;;;wielicki;powiat;2021-01-01
10;17;;;wieluński;powiat;2021-01-01
10;18;;;wieruszowski;powiat;2021-01-01
4;64;;;Włocławek;miasto na prawach powiatu;2021-01-01
4;18;;;włocławski;powiat;2021-01-01
6;19;;;włodawski;powiat;2021-01-01
